"code","location","term","estimate","std.error","statistic","p.value","conf.low","conf.high","n_obs"
"MYS","Malaysia","ext_pc_lag",498.119835756152,397.970389901566,1.25165049560435,0.239183173955996,-388.613451923652,1384.85312343596,12
"FIN","Finland","ext_pc_lag",772.166640252606,607.477180836861,1.2711039436722,0.218277163622633,-495.008554021201,2039.34183452641,22
"ARE","United Arab Emirates","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"AUS","Australia","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"AUT","Austria","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"BEL","Belgium","ext_pc_lag",NA,NA,NA,NA,NA,NA,19
"BGR","Bulgaria","ext_pc_lag",NA,NA,NA,NA,NA,NA,2
"BHR","Bahrain","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"BRN","Brunei Darussalam","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"CAN","Canada","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"CHE","Switzerland","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"CZE","Czechia","ext_pc_lag",NA,NA,NA,NA,NA,NA,18
"DNK","Denmark","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"HUN","Hungary","ext_pc_lag",NA,NA,NA,NA,NA,NA,7
"ISL","Iceland","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"JPN","Japan","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"KOR","Republic of Korea","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"KWT","Kuwait","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"MEX","Mexico","ext_pc_lag",NA,NA,NA,NA,NA,NA,2
"MLT","Malta","ext_pc_lag",NA,NA,NA,NA,NA,NA,4
"OMN","Oman","ext_pc_lag",NA,NA,NA,NA,NA,NA,7
"QAT","Qatar","ext_pc_lag",NA,NA,NA,NA,NA,NA,11
"SAU","Saudi Arabia","ext_pc_lag",NA,NA,NA,NA,NA,NA,7
"SGP","Singapore","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"SVN","Slovenia","ext_pc_lag",NA,NA,NA,NA,NA,NA,2
"USA","United States of America","ext_pc_lag",NA,NA,NA,NA,NA,NA,22
"VEN","Venezuela (Bolivarian Republic of)","ext_pc_lag",NA,NA,NA,NA,NA,NA,4
